section,block,order,field_id,question_es,question_en,type,options,status,skip_logic,goal,redesign_section,notes
Professional Profile,Professional Profile,11,orgtype,¿Qué tipo de organización es tu empleador?,What type of organization is your employer?,Single,corp / startup / product_company / ai_native / itservices / freelance / gobierno / uni,Modified,,Goal 1,Sec 1.3.3,Added ai_native; renamed isv→product_company
Professional Profile,Professional Profile,12,company_size,¿Cuántos empleados tiene tu empresa (aproximadamente)?,Approximately how many employees does your company have?,Single,1–10 / 11–50 / 51–200 / 201–1000 / 1001–5000 / 5000+,New,,,Sec 1.5.4,Top-5 salary predictor; previously missing
Professional Profile,Professional Profile,13,industry,¿En qué industria opera tu empresa?,In which industry does your company operate?,Single,Tecnología/Software / Finanzas/Fintech / Salud / E-commerce/Retail / Educación / Manufactura / Gobierno / Consultoría / Telecomunicaciones / Entretenimiento/Medios / Otro,New,,,Sec 1.5.5,Labor market segmentation by vertical
Professional Profile,Professional Profile,14,emptype,¿Cuál es tu tipo de contratación?,What is your employment type?,Single,nomina / honorarios / freelance / hibrido / emprendedor / becario / estudiante,Retained,,Goal 2,Sec 1.3.2,Enriched by formality block (Sec 2.2)
Professional Profile,Professional Profile,15,work_arrangement,¿Cuál es tu esquema de trabajo actual?,What is your current work arrangement?,Single,Totalmente remoto / Híbrido (1–3 días en oficina por semana) / Totalmente presencial / Nómada / independiente de ubicación,Redesigned,,Goal 1,Sec 1.3.1,Replaces remote (Y/N) and covid_remoto
Language,English Proficiency,16,english,¿Cuál es tu nivel de inglés?,What is your English proficiency level?,Single,0=Ninguno / 1=Elemental / 2=Limitado / 3=Profesional / 4=Avanzado / 5=Nativo o bilingüe,Retained,,,,ILR scale 0–5
Language,English Proficiency,17,english_use,¿Con qué frecuencia usas inglés en tu trabajo diario?,How frequently do you use English in your daily work?,Single,"Nunca / Ocasionalmente (documentación) / Regularmente (reuniones, emails) / La mayor parte del tiempo / Todo mi trabajo es en inglés",New,,,Sec 1.5.6,Behavioral anchor; complements self-assessed ILR level
Compensation,Compensation,18,base_salary,"¿Cuál es tu salario mensual bruto BASE (antes de impuestos, sin incluir bonos ni compensación variable)?","What is your monthly gross BASE salary (before taxes, excluding bonuses and variable compensation)?",Numeric,(local currency),Redesigned,,,Sec 1.5.1,Replaces salarymx; unambiguous base salary
Compensation,Compensation,19,total_cash_annual,"¿Cuál fue tu compensación total en efectivo en los últimos 12 meses (incluyendo salario, bonos, aguinaldo, y cualquier otra compensación en efectivo)?","What was your total cash compensation in the last 12 months (including salary, bonuses, Christmas bonus, and any other cash compensation)?",Numeric,(local currency),Redesigned,,,Sec 1.5.1,Replaces salarymx+extramx+aguinaldo+bonuses
Compensation,Compensation,20,payment_currency,¿En qué moneda recibes tu compensación principal?,In which currency do you receive your primary compensation?,Single,MXN / USD / EUR / BRL / COP / ARS / Otra,New,,Goal 2,Sec 1.5.1,Compensation attribute; joins with employer_hq for cross-border decomposition
Compensation,Compensation,21,has_equity,"¿Recibes compensación en acciones, opciones o RSUs de tu empleador actual?","Do you receive equity compensation (stock, options, or RSUs) from your current employer?",Single,Sí / No,New,,,Sec 1.5.1,Identifies hidden equity compensation tier
Compensation,Compensation,22,salary_change,"Comparado con hace 12 meses, tu compensación total...","Compared to 12 months ago, your total compensation...",Single,Aumentó >20% / Aumentó 10–20% / Aumentó 1–9% / Se mantuvo igual / Disminuyó,Redesigned,,,Sec 1.5.1,Replaces variation; categorical bands
Compensation,Compensation,23,salary_change_reason,¿A qué se debió el cambio principal?,What was the main reason for the change?,Single,Promoción / Cambio de empresa / Ajuste anual / Cambio a moneda extranjera / Recorte / Otro / No cambió,New,,,Sec 1.5.1,Decomposes growth: market forces vs. individual actions
Compensation,Compensation,24,vacaciones,¿Cuántos días de vacaciones al año tienes?,How many vacation days per year do you have?,Numeric,,Retained,,,
Compensation,Compensation,25,aguinaldo,¿Cuántos días de aguinaldo recibes?,How many days of Christmas bonus do you receive?,Numeric,,Retained,,,,Mexico-specific; localize for LatAm
Tech Stack,Primary Role,26,primary_role,¿Cuál es tu rol o actividad principal?,What is your primary role or activity?,Single,Software Engineer (Backend/Frontend/Fullstack) / Mobile Engineer / Data Engineer / Data Scientist-ML / Data Analyst / AI-ML Engineer / DevOps-SRE-Infra / Security-InfoSec / Architecture / QA-Testing / UX-UI Design / Product Manager / Project Manager / Program Manager / Support / Other,Redesigned,,,Sec 1.6.2,Replaces act_* (26 checkboxes); pure discipline. Management captured by seniority_level (Manager/Director+/C-Level) across all disciplines; PM disambiguated; Data Analyst added
Tech Stack,Primary Role,27,secondary_role,¿Tienes un rol secundario?,Do you have a secondary role?,Single,Same as primary_role + No tengo rol secundario,Redesigned,,,Sec 1.6.2,Replaces act_* (26 checkboxes); captures IC→management transition via primary+secondary
Tech Stack,Primary Role,28,has_second_job,¿Tienes un segundo empleo remunerado además de tu trabajo principal?,Do you have a second paid job in addition to your main job?,Single,Sí / No,New,,Goal 2,Sec 1.6.2,Existence only (culturally sensitive); pluriempleo / labor-structure signal
Tech Stack,Primary Stack,29,primary_language,¿Cuál es tu lenguaje de programación principal?,What is your primary programming language?,Single,JavaScript-TypeScript / Python / Java / C# / Go / Rust / PHP / Ruby / Kotlin / Swift / C-C++ / Scala / Elixir / Ninguno en particular (asistido por IA) / Other,Redesigned,Only if primary_role is technical,,Sec 1.6.3,Replaces lang_* (20 checkboxes); AI-assisted option for language-agnostic respondents
Tech Stack,Primary Stack,30,primary_framework,¿Cuál es tu framework o plataforma principal?,What is your primary framework or platform?,Single,React / Angular / Vue / Next.js / Spring / Django-FastAPI / .NET / Rails / Flutter / Laravel / Node.js-Express / None / Other,Redesigned,Only if primary_role is technical,,Sec 1.6.3,Replaces front_* + mobile_*
Tech Stack,Primary Stack,31,primary_database,¿Cuál es tu base de datos principal?,What is your primary database?,Single,PostgreSQL / MySQL / SQL Server / MongoDB / Redis / DynamoDB / Firebase / Oracle / Other,Redesigned,Only if primary_role is technical,,Sec 1.6.3,Replaces db_* (~15 checkboxes)
Tech Stack,Primary Stack,32,primary_cloud,¿Cuál es tu plataforma de nube principal?,What is your primary cloud platform?,Single,AWS / Azure / GCP / On-premise / No uso nube / Other,Redesigned,Only if primary_role is technical,,Sec 1.6.3,Replaces partial infra_*
Tech Stack,Tech Depth,33,primary_lang_years,¿Cuántos años llevas usando tu lenguaje principal?,How many years have you been using your primary language?,Numeric,,New,Only if primary_role is technical,,Sec 1.6.4,Depth signal missing from binary checkboxes
Tech Stack,Tech Depth,34,stack_change,¿Has cambiado significativamente tu stack tecnológico en los últimos 2 años?,Have you significantly changed your tech stack in the last 2 years?,Single,"Sí, completamente / Sí, parcialmente / No",New,Only if primary_role is technical,,Sec 1.6.4,Technology mobility signal
Tech Stack,Certifications,35,has_certs,¿Tienes alguna certificación técnica vigente?,Do you hold any current technical certifications?,Single,Sí / No,Redesigned,,,Sec 1.6.5,Replaces cert_* (27 checkboxes)
Tech Stack,Certifications,36,cert_category,¿En qué categoría(s)? (selecciona las que apliquen; máx 3),In which category(s)? (select up to 3),Multi-select,Cloud (AWS/Azure/GCP) / Scrum-Agile / PMP / Kubernetes (CKA/CKAD) / Security (CISSP/CompTIA) / Data (Databricks/Snowflake) / Other,Redesigned,Only if has_certs = Sí,,Sec 1.6.5,Common cert families + Other; stable across years
Tech Stack,Optional Detail,37,all_technologies,(Opcional) Enlista todas las tecnologías que usas regularmente,(Optional) List all technologies you use regularly,Free text,,New,,,Sec 1.6.6,Optional; for descriptive reports. Parse post-hoc.
Labor Formality,Labor Formality & Social Protection,38,formal_contract,¿Tienes un contrato laboral formal por escrito?,Do you have a formal written employment contract?,Single,Sí / No / No sé,New,,Goal 2,Sec 2.2,
Labor Formality,Labor Formality & Social Protection,39,social_security,"¿Estás inscrito en el IMSS, ISSSTE u otro sistema de seguridad social a través de tu empleo?","Are you enrolled in IMSS, ISSSTE, or another social security system through your employment?",Single,"Sí, por mi empleo / Sí, por cuenta propia / No",New,,Goal 2,Sec 2.2,"Localize for LatAm (EPS/AFP, ANSES, INSS)"
Labor Formality,Labor Formality & Social Protection,40,retirement_saving,¿Realizas aportaciones a una Afore o fondo de retiro?,Do you contribute to a retirement fund (Afore or equivalent)?,Single,"Sí, mi empleador aporta / Sí, solo por mi cuenta / No",New,,Goal 2,Sec 2.2,Localize for LatAm
Cross-Border,Cross-Border Work Dynamics,41,employer_hq,¿En qué país tiene su sede principal la empresa para la que trabajas?,In which country is your employer headquartered?,Single,México / Estados Unidos / Canadá / Europa / América Latina (otro) / Asia / Otro,New,,Goal 2,Sec 2.3,
Cross-Border,Cross-Border Work Dynamics,42,cross_border_contract,¿Cuál es tu relación laboral con esta empresa extranjera?,What is your employment relationship with this foreign company?,Single,"Contrato laboral local (a través de entidad local) / Contractor independiente / A través de Employer of Record (Deel, Remote, etc.) / Otro",New,Only if employer_hq ≠ respondent's country,Goal 2,Sec 2.3,
Purchasing Power,Purchasing Power & Cost of Living,43,purchasing_power,¿Cómo calificarías tu capacidad para cubrir tus necesidades básicas con tu salario actual?,How would you rate your ability to cover basic needs with your current salary?,Likert 1–5,1=Con mucha dificultad / 2 / 3 / 4 / 5=Con mucha holgura,New,,Goal 2,Sec 2.4,
Purchasing Power,Purchasing Power & Cost of Living,44,housing_burden,¿Qué porcentaje aproximado de tu ingreso mensual destinas a renta o hipoteca?,What approximate percentage of your monthly income goes to rent/mortgage?,Single,0% (vivienda propia sin hipoteca) / 1–20% / 21–30% / 31–40% / 41–50% / Más del 50%,New,,Goal 2,Sec 2.4,
Purchasing Power,Purchasing Power & Cost of Living,45,financial_savings,¿Qué porcentaje de tu ingreso mensual logras ahorrar?,What percentage of your monthly income do you manage to save?,Single,No logro ahorrar / Menos del 10% / 10–20% / 21–30% / Más del 30%,New,,Goal 2,Sec 2.4,Percentage bands (was Yes/frequency)
Purchasing Power,Purchasing Power & Cost of Living,46,investment_instruments,¿Inviertes activamente parte de tus ingresos? ¿En qué instrumentos?,Do you actively invest part of your income? In which instruments?,Multi-select,No invierto / Cetes o bonos gubernamentales / ETFs / Fondos de inversión / Acciones individuales / Cripto / Bienes raíces,New,,Goal 2,Sec 2.4,Financial-resilience & social-mobility signal
Education ROI,Education ROI & Career Pathways,47,edu_relevance,¿Qué tan relevante fue tu educación formal para tu trabajo actual?,How relevant was your formal education to your current work?,Likert 1–5,1=Nada relevante / 2 / 3 / 4 / 5=Totalmente relevante,New,,Goal 2,Sec 2.5,
Education ROI,Education ROI & Career Pathways,48,recent_training,¿Has completado alguna capacitación o curso en los últimos 12 meses?,Have you completed any training or course in the last 12 months?,Single,"Sí, pagado por mi empleador / Sí, pagado por mí / Sí, gratuito / No",New,,Goal 2,Sec 2.5,
Education ROI,Education ROI & Career Pathways,49,first_job_degree,¿Tu primer empleo en tecnología requirió un título universitario?,Did your first tech job require a university degree?,Single,"Sí, era requisito formal / No, pero lo tenía / No, y no lo tenía",New,,Goal 2,Sec 2.5,
Education ROI,Education ROI & Career Pathways,50,edu_debt,¿Tienes deuda educativa actualmente (crédito educativo / préstamo para estudios)?,Do you currently have educational debt?,Single,Sí / No / Prefiero no contestar,New,,Goal 2,Sec 2.5,
Education ROI,Education ROI & Career Pathways,51,first_gen_university,¿Eres la primera generación de tu familia en cursar estudios universitarios?,Are you the first generation in your family to attend university?,Single,Sí / No / No cursé universidad,New,,Goal 2,Sec 2.5,Social-mobility signal (first-generation university)
AI Impact,AI Impact on the Individual,52,ai_tools_use,"¿Utilizas herramientas de IA (Copilot, ChatGPT, etc.) como parte regular de tu trabajo?","Do you use AI tools (Copilot, ChatGPT, etc.) as a regular part of your work?",Single,"Sí, diariamente / Sí, semanalmente / Ocasionalmente / No",New,,Goal 1 + Goal 2,Sec 2.6,Individual lens (not employer lens)
AI Impact,AI Impact on the Individual,53,vibe_coding_share,"¿Qué proporción de tu código generas describiéndole a una IA lo que quieres, en lugar de escribirlo directamente?","What share of your code do you produce by describing what you want to an AI, rather than writing it directly?",Single,Nada / Poco / Aproximadamente la mitad / La mayoría / Casi todo,New,Only if primary_role is technical,Goal 2,Sec 2.6,Vibe-coding intensity; identity drift from primary_language/framework
AI Impact,AI Impact on the Individual,54,ai_task_change,¿Han cambiado las tareas que realizas debido a herramientas de IA?,Have your tasks changed due to AI tools?,Single,"Sí, hago tareas de mayor nivel / Sí, hago las mismas tareas más rápido / Sí, algunas tareas ya no las hago / No ha cambiado",New,,Goal 2,Sec 2.6,
AI Impact,AI Impact on the Individual,55,ai_skill_confidence,¿Qué tan confiado/a estás en que tus habilidades actuales seguirán siendo relevantes en 3 años?,How confident are you that your current skills will remain relevant in 3 years?,Likert 1–5,1=Nada confiado / 2 / 3 / 4 / 5=Totalmente confiado,New,,Goal 2,Sec 2.6,
AI Impact,AI Impact on the Individual,56,ai_role_status,¿Tu rol actual es un rol de IA?,Is your current role an AI role?,Single,"No / Sí, cambié a un rol nuevo de IA / Sí, mi rol tradicional se transformó hacia IA",New,,Goal 1 + Goal 2,Sec 2.6,Captures net-new vs. transformed AI roles; role-transition signal (WEF/McKinsey)
AI Impact,AI Impact on the Individual,57,ai_specialization,¿Cuál es tu especialización principal de IA?,What is your primary AI specialization?,Single,ML-AI Engineer / GenAI-LLM-Agent Engineer / MLOps-AI Platform Engineer / AI Product Manager / Responsible AI-Governance,New,Only if ai_role_status ≠ No or primary_role = AI-ML Engineer,Goal 1,Sec 2.6,Gated AI role taxonomy; preserves clean primary_role single-select
Gender & Diversity,Gender Mechanisms (all genders),58,first_code_age,¿A qué edad escribiste tu primera línea de código o programa?,At what age did you write your first line of code or program?,Numeric,,Retained,,Goal 2,Sec 2.7,Layer A; pipeline-timing diagnostic
Gender & Diversity,Gender Mechanisms (all genders),59,childhood_computer,¿Tenías acceso a una computadora en casa durante tu infancia (antes de los 15 años)?,Did you have access to a computer at home during childhood (before age 15)?,Single,"Sí, propia / Sí, compartida / No",Retained,,Goal 2,Sec 2.7,Layer A; access hypothesis
Gender & Diversity,Gender Mechanisms (all genders),60,negotiated_salary,¿Negociaste tu salario al aceptar tu empleo actual?,Did you negotiate your salary when accepting your current job?,Single,Sí / No / No tuve oportunidad,New,,Goal 2,Sec 2.7,Layer A; negotiation mechanism for gap decomposition
Gender & Diversity,Gender Mechanisms (all genders),61,pay_transparency,¿Sabes cuánto ganan tus colegas en un rol equivalente?,Do you know what colleagues in an equivalent role earn?,Single,"Sí, abiertamente / Aproximadamente / No",New,,Goal 2,Sec 2.7,Layer A; pay-transparency access mechanism
Gender & Diversity,Gender Mechanisms (all genders),62,promoted_2y,¿Has sido promovido/a en los últimos 2 años?,Have you been promoted in the last 2 years?,Single,Sí / No,New,,Goal 2,Sec 2.7,Layer A; advancement-access mechanism
Gender & Diversity,Gender Mechanisms (all genders),63,has_sponsor,¿Cuentas con un mentor o patrocinador que impulse tu carrera?,Do you have a mentor or sponsor who advances your career?,Single,Sí / No,New,,Goal 2,Sec 2.7,Layer A; sponsorship mechanism
Gender & Diversity,Gender Mechanisms (all genders),64,caregiving_load,"¿Tienes responsabilidades de cuidado (hijos, familiares) que afecten tu disponibilidad laboral?","Do you have caregiving responsibilities (children, family) that affect your work availability?",Single,"Sí, principalmente yo / Sí, compartidas / No",New,,Goal 2,Sec 2.7,Layer A; care-load mechanism (motherhood penalty)
Gender & Diversity,Gender Mechanisms (all genders),65,career_interruption,¿Has pausado o reducido tu carrera por responsabilidades personales o familiares?,Have you paused or scaled back your career for personal/family responsibilities?,Single,Sí / No,New,,Goal 2,Sec 2.7,Layer A; career-interruption mechanism
Gender & Diversity,Gender Mechanisms (all genders),66,parental_leave_taken,"Si has tenido hijos, ¿tomaste licencia parental?","If you have had children, did you take parental leave?",Single,"Sí, completa / Sí, parcial / No / No aplica",New,,Goal 2,Sec 2.7,Layer A; parental-leave uptake incl. paternity; feeds caregiving/gender analysis
Gender & Diversity,Gender Mechanisms (all genders),67,discrimination_exp,¿Has experimentado discriminación en procesos de contratación o promoción en el sector tecnológico?,Have you experienced discrimination in hiring or promotion in the tech sector?,Single,"Sí, frecuentemente / Sí, alguna vez / No / Prefiero no contestar",Retained,,Goal 2,Sec 2.7,Layer A; all-gender discrimination signal
Gender & Diversity,Women — exclusive section,68,women_maternity,¿Cómo calificarías el trato de tu empleador respecto a maternidad y reincorporación laboral?,How would you rate your employer's treatment of maternity and return-to-work?,Single,Muy negativo / Negativo / Neutral / Positivo / Muy positivo / No aplica / Prefiero no contestar,New,Only if gender = mujer,Goal 2,Sec 2.7,"Layer B women-only; descriptive, not in regression"
Gender & Diversity,Women — exclusive section,69,women_only_team,¿Eres la única mujer o una de muy pocas en tu equipo?,Are you the only woman or one of very few on your team?,Single,"Sí, la única / Una de pocas / No / Prefiero no contestar",New,Only if gender = mujer,Goal 2,Sec 2.7,Layer B women-only
Gender & Diversity,Women — exclusive section,70,women_harassment,¿Te has sentido insegura o has vivido acoso en tu entorno laboral en tech?,Have you felt unsafe or experienced harassment in your tech workplace?,Single,"Sí, frecuentemente / Sí, alguna vez / No / Prefiero no contestar",New,Only if gender = mujer,Goal 2,Sec 2.7,"Layer B women-only; sensitive, optional"
Gender & Diversity,Women — exclusive section,71,women_network,"¿Tienes acceso a redes o comunidades de mujeres en tech (Women Who Code, Laboratoria, etc.)?",Do you have access to women-in-tech networks or communities?,Single,"Sí, activamente / Sí, pero no participo / No / No las conozco",New,Only if gender = mujer,Goal 2,Sec 2.7,Layer B women-only; distribution-channel signal
Gender & Diversity,Women — exclusive section,72,women_leadership_program,¿Tu empleador tiene programas formales de mentoría o promoción de mujeres hacia posiciones de liderazgo?,Does your employer have formal programs to mentor or promote women into leadership positions?,Single,Sí / No / No sé,New,Only if gender = mujer,Goal 2,Sec 2.7,"Layer B women-only; descriptive, not in regression; complements all-gender has_sponsor"
Gender & Diversity,Alternative gender — exclusive section,73,identity_visibility,"¿Te sientes cómodo/a siendo visible con tu identidad (género, orientación, etnia) en tu lugar de trabajo?","Do you feel comfortable being visible with your identity (gender, orientation, ethnicity) at work?",Likert 1–5,1=Nada cómodo / 2 / 3 / 4 / 5=Totalmente cómodo,Retained,Only if gender = no binario/otro,Goal 2,Sec 2.7,Layer C; moved from old all-gender 2.7 to alt-gender section
Gender & Diversity,Alternative gender — exclusive section,74,altg_misgendering,¿Con qué frecuencia experimentas misgendering o falta de respeto a tu identidad en el trabajo?,How often do you experience misgendering or disrespect of your identity at work?,Single,Frecuentemente / A veces / Rara vez / Nunca / Prefiero no contestar,New,Only if gender = no binario/otro,Goal 2,Sec 2.7,Layer C alt-gender-only
Gender & Diversity,Alternative gender — exclusive section,75,altg_inclusive_policy,"¿Tu empleador ofrece políticas inclusivas (pronombres, seguro médico inclusivo, instalaciones, apoyo a transición)?","Does your employer offer inclusive policies (pronouns, inclusive health coverage, facilities, transition support)?",Single,"Sí, varias / Algunas / Ninguna / No sé / Prefiero no contestar",New,Only if gender = no binario/otro,Goal 2,Sec 2.7,Layer C alt-gender-only
Gender & Diversity,Alternative gender — exclusive section,76,altg_discrimination,¿Has experimentado discriminación específicamente por tu identidad o expresión de género u orientación?,Have you experienced discrimination specifically due to your gender identity/expression or orientation?,Single,"Sí, frecuentemente / Sí, alguna vez / No / Prefiero no contestar",New,Only if gender = no binario/otro,Goal 2,Sec 2.7,Layer C alt-gender-only
BP2C Link,Certification Link,77,bp2c_enrolled,¿Tu empleador está certificado o inscrito en Best Place to Create (BP2C) de Software Guru?,Is your employer certified or enrolled in Software Guru's Best Place to Create (BP2C)?,Single,Sí / No / No sé,New,,Goal 3,Sec 3.3,Soft link; population-level certification-premium comparison; no PII
BP2C Hook,Satisfaction Gap Teaser,78,enps,"Del 1 al 10, ¿qué tan probable es que recomiendes a tu empleador a un amigo?","On a scale of 1–10, how likely are you to recommend your employer to a friend?",NPS scale,1–10,New,,Goal 3,Sec 3.2,Outcome variable only; scale harmonized to BP2C (1–10)
BP2C Hook,Satisfaction Gap Teaser,79,leave_reason,¿Cuál sería la razón principal por la que dejarías tu empleo actual?,What would be the primary reason you'd leave your current job?,Single,Salario / Crecimiento profesional / Cultura organizacional / Liderazgo / Flexibilidad / Otro,New,,Goal 3,Sec 3.2,
BP2C Hook,Satisfaction Gap Teaser,80,job_search,¿Estás buscando activamente otro empleo?,Are you actively looking for another job?,Single,"Sí / No, pero estoy abierto/a / No",New,,Goal 3,Sec 3.2,
Removed,Benefits (moved to BP2C),—,ben_*,"(18 items: equity, car, family support, education, bonus, housing, parking, gas, gym, flex hours, home office, loans, health insurance major/minor, life insurance, cafeteria, cellphone, vouchers)",,Multi-select,,Removed,,Goal 1,Sec 1.2.1,Employer attributes → BP2C Employer Fundamentals
Removed,COVID-era,—,covid_apoyo,"computadora, muebles, internet",,Multi-select,,Removed,,Goal 1,Sec 1.2.2,Employer behavior → outdated
Removed,COVID-era,—,covid_salario,"igual, mejor, bajatemp, bajaperm, desempleo",,Single,,Removed,,Goal 1,Sec 1.2.2,Pandemic-specific → outdated
Removed,COVID-era,—,covid_carga,"Igual, aumentado, disminuido",,Single,,Removed,,Goal 1,Sec 1.2.2,Pandemic-specific → outdated
Removed,COVID-era,—,covid_remoto,"remote, onsite, semipresencial",,Single,,Removed,,Goal 1,Sec 1.3.1,Replaced by work_arrangement
Removed,Compensation (replaced),—,salarymx,Monthly gross salary MXN,,Numeric,,Removed,,,Sec 1.5.1,Replaced by base_salary + total_cash_annual
Removed,Compensation (replaced),—,salaryusd,Monthly gross salary USD,,Numeric,,Removed,,,Sec 1.5.1,Redundant with payment_currency; normalize during analysis
Removed,Compensation (replaced),—,extramx,Extra compensation MXN,,Numeric,,Removed,,,Sec 1.5.1,Folded into total_cash_annual
Removed,Compensation (replaced),—,extrausd,Extra compensation USD,,Numeric,,Removed,,,Sec 1.5.1,Folded into total_cash_annual
Removed,Compensation (replaced),—,variation,Year-over-year salary change %,,Single,,Removed,,,Sec 1.5.1,Replaced by salary_change + salary_change_reason
Removed,Experience (replaced),—,experience,Years of experience (unspecified),,Numeric,,Removed,,,Sec 1.5.2,Replaced by experience_tech + experience_total
Removed,Experience (replaced),—,seniority,Years in current role,,Numeric,,Removed,,,Sec 1.5.2,Replaced by tenure_current
Removed,Profile (replaced),—,profile,"godin, independiente, emprendedor, directivo, docente, estudiante, otro",,Single,,Removed,,,Sec 1.5.3,Replaced by seniority_level
Removed,Tech checkboxes (replaced),—,lang_*,20 programming language checkboxes,,Multi-select,,Removed,,,Sec 1.6.3,Replaced by primary_language
Removed,Tech checkboxes (replaced),—,front_*,Frontend framework checkboxes,,Multi-select,,Removed,,,Sec 1.6.3,Replaced by primary_framework
Removed,Tech checkboxes (replaced),—,mobile_*,Mobile technology checkboxes,,Multi-select,,Removed,,,Sec 1.6.3,Replaced by primary_framework
Removed,Tech checkboxes (replaced),—,db_*,~15 database checkboxes,,Multi-select,,Removed,,,Sec 1.6.3,Replaced by primary_database
Removed,Tech checkboxes (replaced),—,dsc_*,Data science tool checkboxes,,Multi-select,,Removed,,,Sec 1.6.6,Replaced by all_technologies (optional)
Removed,Tech checkboxes (replaced),—,dataeng_*,Data engineering tool checkboxes,,Multi-select,,Removed,,,Sec 1.6.6,Replaced by all_technologies (optional)
Removed,Tech checkboxes (replaced),—,infra_*,Infrastructure tool checkboxes,,Multi-select,,Removed,,,Sec 1.6.3,Replaced by primary_cloud + all_technologies
Removed,Tech checkboxes (replaced),—,cert_*,27 certification checkboxes,,Multi-select,,Removed,,,Sec 1.6.5,Replaced by has_certs + cert_category + cert_count
Removed,Tech checkboxes (replaced),—,act_*,22–26 activity/role checkboxes,,Multi-select,,Removed,,,Sec 1.6.2,Replaced by primary_role + secondary_role
Removed,Remote (replaced),—,remote,Remote work Y/N,,Single,,Removed,,Goal 1,Sec 1.3.1,Replaced by work_arrangement
Removed,AI (merged),—,ai_salary_impact,Self-perceived AI contribution to own compensation,,Single,,Removed,,Goal 2,Sec 2.6,Dropped 2026; AI premium recovered econometrically from role/activity data
Removed,Certifications (simplified),—,cert_count,Self-reported certification count,,Numeric,,Removed,,,Sec 1.6.5,Dropped 2026 per feedback; low signal
Removed,Cross-Border (trimmed),—,cross_border_tax,Invoice foreign company as independent taxpayer (CFDI),,Single,,Removed,,Goal 2,Sec 2.3,"Dropped 2026 per feedback; MX-specific, hard to localize"
Removed,Tech Depth (trimmed),—,tech_breadth,Number/areas of regular work (generalist vs. specialist),,Multi-select,,Removed,,,Sec 1.6.4,Dropped 2026 per feedback; generalist/specialist axis not statistically significant
